Table No 6,,,,,,,,,,,,,,,
PROVINCE-WISE AREA & PRODUCTION  OF WHEAT CROP IN PAKISTAN,,,,,,,,,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF RICE CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Attock,,Rawalpindi,Islamaba d,Jhelum,C hakwal,,Sargodha,Khushab,Mianwali,Bhakkar,,,,
2000-01,,0,0,0,1.2,,0,36.8,14.2,1.2,0,,,,
DISTRICT-WISE AREA & PRODUCTION  OF RICE CROP IN PUNJAB,,,,,,,,,,,,,,,
(Area in '000' Hectares) District/ Toba,,,,,,,,,,,,,,,
Year FaisalabadTe  k Singh,JhangGujratSialkot Gujranwala Narowal M.B. DinHafizabad,,,,,,,,,,,,,,
2000-01 28.7,25.1 86.2 38.9 174.8 228.6 85.0 70.0 110.9,,,,,,,,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF RICE CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,Sheikhu,,,,,,,,,,,,,,
Year,pura,Lahore,Kasur,Okara,Sahiwal,Multan,Khanewal,Vehari Lodhran,,,,,,,
2000-01,259.4,39.3,62.3,112.5,23.5,9.3,14.6,17.8 3.2,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF RICE CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,Nankana,,,,,,Bahawal,Rahimyar Bahawal,,,,,,,
Year,,,,,,,,,,,,,,,
2000-01,0,44.5,22.7,0.8,25.5,10.1,7.3,20.6 52.2,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF RICE CROP IN SINDH,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Khairpur,,Sukkur,,Nawabshah,N. Feroze,,Jacobabad,Shikarpur,,Larkana,,Sanghar,,
2000-01,,1,,0.8,1,,1.1,100.7,,88.4,,162.8,,0.3,
DISTRICT-WISE AREA & PRODUCTION  OF RICE CROP IN SINDH,,,,,,,,,,,,,,,
Province/,,,,,,,,,,,,,,,
District,Tharparkar,Dadu,,Hyderabad,Badin,,Thatta,,Mirpurkhas,,Karachi,,K.S.Kot,,
2000-01,0,,35.8,14,,70.5,,61.5,,1.5,,0,,0,
"Province/District",Umarkot,Jamshoro,Matiari,Tando Allahyar,T.M.Khan,Ghotki,Kashmore,,,,,,,,
2000-01,0,0,0,0,0,0.7,0,,,,,,,,
CT-WISE AREA & PRODUCTION  OF RICE CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Peshawar,Charsadda  Nowshera,Mardan,Swabi,,Kohat,,Karak,,Mansehra,Abbottabad,,,,
2000-01,0.3,0.2 0.1,1.3,,0.8,,0.5,,0,2.4,0,,,,
CT-WISE AREA & PRODUCTION  OF RICE CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Kohistan,Haripur,,Battagram,Malakand,Swat,,Dir  Lower  Chitral,,Bunir,,D.I.Khan,,,
2000-01,0.1,,0,2.5,6.9,,7.5,16.2,2.8,,0.1,9.1,,,
CT-WISE AREA & PRODUCTION  OFRICE CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
